URL,Status Code,SEO Score,Total Issues,Critical Issues,High Issues,Medium Issues,Low Issues,All Issues,Has Noindex,Noindex Issues,Has Canonical,Canonical URL,Canonical Issues,Redirect Chain Length,Redirect Issues,Is HTTPS,Mixed Content Count,HTTPS Issues,Has Structured Data,Schema Types,Schema Issues,Has Title,Title Text,Title Length,Title Issues,Has Meta Description,Meta Description Length,Meta Description Issues,H1 Count,H1 Issues,Total Images,Images Without Alt,Image Alt Issues,Internal Links,Broken Internal Links,Internal Link Issues
https://www.steelman.com/product/101014-de-e,200,0,9,1,1,6,1,"[LOW] Meta description too long (434 chars, recommended: 120-160) | [MEDIUM] Link without anchor text: https://www.steelman.com/request-quote | [MEDIUM] Link without anchor text: https://www.steelman.com/product/101014-de-e | [MEDIUM] Link without anchor text: https://www.steelman.com/ | [MEDIUM] Link without anchor text: https://www.steelman.com/wp-content/uploads/produc | [MEDIUM] Link without anchor text: https://www.steelman.com/contact | [MEDIUM] 3 potentially broken internal link(s) | [HIGH] Missing canonical tag | [CRITICAL] Page has noindex directive",True,Meta robots tag contains 'noindex',False,,Missing canonical tag,2,,True,0,,True,Unknown,,True,"101014-DE-E - Double-Ended Electric Ovens - Steelman Industries, Inc.",69,,True,434,"Meta description too long (434 chars, recommended: 120-160)",1,,4,0,,59,3,Link without anchor text: https://www.steelman.com/request-quote | Link without anchor text: https://www.steelman.com/product/101014-de-e | Link without anchor text: https://www.steelman.com/
https://www.steelman.com/product/101012-de-e,200,0,9,1,1,6,1,"[LOW] Meta description too long (434 chars, recommended: 120-160) | [MEDIUM] Link without anchor text: https://www.steelman.com/request-quote | [MEDIUM] Link without anchor text: https://www.steelman.com/product/101012-de-e | [MEDIUM] Link without anchor text: https://www.steelman.com/ | [MEDIUM] Link without anchor text: https://www.steelman.com/wp-content/uploads/produc | [MEDIUM] Link without anchor text: https://www.steelman.com/contact | [MEDIUM] 3 potentially broken internal link(s) | [HIGH] Missing canonical tag | [CRITICAL] Page has noindex directive",True,Meta robots tag contains 'noindex',False,,Missing canonical tag,2,,True,0,,True,Unknown,,True,"101012-DE-E - Double-Ended Electric Ovens - Steelman Industries, Inc.",69,,True,434,"Meta description too long (434 chars, recommended: 120-160)",1,,7,0,,59,3,Link without anchor text: https://www.steelman.com/request-quote | Link without anchor text: https://www.steelman.com/product/101012-de-e | Link without anchor text: https://www.steelman.com/
https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-electric-ovens/page/3,200,45,6,0,0,5,1,"[LOW] Meta description too long (1505 chars, recommended: 120-160) | [MEDIUM] Link without anchor text: https://www.steelman.com/request-quote | [MEDIUM] Link without anchor text: https://www.steelman.com/product-category/industri | [MEDIUM] Link without anchor text: https://www.steelman.com/ | [MEDIUM] Link without anchor text: https://www.steelman.com/contact | [MEDIUM] 21 potentially broken internal link(s)",False,,True,https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-electric-ovens/page/3/,,2,,True,0,,True,"Unknown, BreadcrumbList",,True,Industrial Electric Ovens | Walk-In & Truck-In Ovens | Manufacturer,67,,True,1505,"Meta description too long (1505 chars, recommended: 120-160)",1,,8,0,,85,21,Link without anchor text: https://www.steelman.com/request-quote | Link without anchor text: https://www.steelman.com/product-category/industri | Link without anchor text: https://www.steelman.com/
https://www.steelman.com/product/101010-e,200,35,7,0,0,6,1,"[LOW] Meta description too long (434 chars, recommended: 120-160) | [MEDIUM] Link without anchor text: https://www.steelman.com/request-quote | [MEDIUM] Link without anchor text: https://www.steelman.com/product/101010-e | [MEDIUM] Link without anchor text: https://www.steelman.com/ | [MEDIUM] Link without anchor text: https://www.steelman.com/wp-content/uploads/produc | [MEDIUM] Link without anchor text: https://www.steelman.com/contact | [MEDIUM] 3 potentially broken internal link(s)",False,,True,https://www.steelman.com/product/101010-e/,,2,,True,0,,True,Unknown,,True,"101010-E - Standard Electric Ovens - Steelman Industries, Inc.",62,,True,434,"Meta description too long (434 chars, recommended: 120-160)",1,,5,0,,59,3,Link without anchor text: https://www.steelman.com/request-quote | Link without anchor text: https://www.steelman.com/product/101010-e | Link without anchor text: https://www.steelman.com/
https://www.steelman.com/product/101210-e,200,35,7,0,0,6,1,"[LOW] Meta description too long (434 chars, recommended: 120-160) | [MEDIUM] Link without anchor text: https://www.steelman.com/request-quote | [MEDIUM] Link without anchor text: https://www.steelman.com/product/101210-e | [MEDIUM] Link without anchor text: https://www.steelman.com/ | [MEDIUM] Link without anchor text: https://www.steelman.com/wp-content/uploads/produc | [MEDIUM] Link without anchor text: https://www.steelman.com/contact | [MEDIUM] 3 potentially broken internal link(s)",False,,True,https://www.steelman.com/product/101210-e/,,2,,True,0,,True,Unknown,,True,"101210-E - Standard Electric Ovens - Steelman Industries, Inc.",62,,True,434,"Meta description too long (434 chars, recommended: 120-160)",1,,7,0,,59,3,Link without anchor text: https://www.steelman.com/request-quote | Link without anchor text: https://www.steelman.com/product/101210-e | Link without anchor text: https://www.steelman.com/
https://www.steelman.com/product/101210-de-e,200,0,9,1,1,6,1,"[LOW] Meta description too long (434 chars, recommended: 120-160) | [MEDIUM] Link without anchor text: https://www.steelman.com/request-quote | [MEDIUM] Link without anchor text: https://www.steelman.com/product/101210-de-e | [MEDIUM] Link without anchor text: https://www.steelman.com/ | [MEDIUM] Link without anchor text: https://www.steelman.com/wp-content/uploads/produc | [MEDIUM] Link without anchor text: https://www.steelman.com/contact | [MEDIUM] 3 potentially broken internal link(s) | [HIGH] Missing canonical tag | [CRITICAL] Page has noindex directive",True,Meta robots tag contains 'noindex',False,,Missing canonical tag,2,,True,0,,True,Unknown,,True,"101210-DE-E - Double-Ended Electric Ovens - Steelman Industries, Inc.",69,,True,434,"Meta description too long (434 chars, recommended: 120-160)",1,,7,0,,59,3,Link without anchor text: https://www.steelman.com/request-quote | Link without anchor text: https://www.steelman.com/product/101210-de-e | Link without anchor text: https://www.steelman.com/
https://www.steelman.com/product/101012-e,200,35,7,0,0,6,1,"[LOW] Meta description too long (434 chars, recommended: 120-160) | [MEDIUM] Link without anchor text: https://www.steelman.com/request-quote | [MEDIUM] Link without anchor text: https://www.steelman.com/product/101012-e | [MEDIUM] Link without anchor text: https://www.steelman.com/ | [MEDIUM] Link without anchor text: https://www.steelman.com/wp-content/uploads/produc | [MEDIUM] Link without anchor text: https://www.steelman.com/contact | [MEDIUM] 3 potentially broken internal link(s)",False,,True,https://www.steelman.com/product/101012-e/,,2,,True,0,,True,Unknown,,True,"101012-E - Standard Electric Ovens - Steelman Industries, Inc.",62,,True,434,"Meta description too long (434 chars, recommended: 120-160)",1,,4,0,,59,3,Link without anchor text: https://www.steelman.com/request-quote | Link without anchor text: https://www.steelman.com/product/101012-e | Link without anchor text: https://www.steelman.com/
https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/double-ended-electric-ovens/page/2,200,45,6,0,0,5,1,"[LOW] Meta description too long (1752 chars, recommended: 120-160) | [MEDIUM] Link without anchor text: https://www.steelman.com/request-quote | [MEDIUM] Link without anchor text: https://www.steelman.com/product-category/industri | [MEDIUM] Link without anchor text: https://www.steelman.com/ | [MEDIUM] Link without anchor text: https://www.steelman.com/contact | [MEDIUM] 21 potentially broken internal link(s)",False,,True,https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/double-ended-electric-ovens/page/2/,,2,,True,0,,True,"Unknown, BreadcrumbList",,True,Double-Ended Electric Ovens | Walk-In & Truck-In Ovens | Manufacturer,69,,True,1752,"Meta description too long (1752 chars, recommended: 120-160)",1,,5,0,,84,21,Link without anchor text: https://www.steelman.com/request-quote | Link without anchor text: https://www.steelman.com/product-category/industri | Link without anchor text: https://www.steelman.com/
https://www.steelman.com/product/101020-e,200,35,7,0,0,6,1,"[LOW] Meta description too long (434 chars, recommended: 120-160) | [MEDIUM] Link without anchor text: https://www.steelman.com/request-quote | [MEDIUM] Link without anchor text: https://www.steelman.com/product/101020-e | [MEDIUM] Link without anchor text: https://www.steelman.com/ | [MEDIUM] Link without anchor text: https://www.steelman.com/wp-content/uploads/produc | [MEDIUM] Link without anchor text: https://www.steelman.com/contact | [MEDIUM] 3 potentially broken internal link(s)",False,,True,https://www.steelman.com/product/101020-e/,,2,,True,0,,True,Unknown,,True,"101020-E - Standard Electric Ovens - Steelman Industries, Inc.",62,,True,434,"Meta description too long (434 chars, recommended: 120-160)",1,,7,0,,59,3,Link without anchor text: https://www.steelman.com/request-quote | Link without anchor text: https://www.steelman.com/product/101020-e | Link without anchor text: https://www.steelman.com/
https://www.steelman.com/product/101210-de,200,0,9,1,1,6,1,"[LOW] Meta description too long (434 chars, recommended: 120-160) | [MEDIUM] Link without anchor text: https://www.steelman.com/request-quote | [MEDIUM] Link without anchor text: https://www.steelman.com/product/101210-de | [MEDIUM] Link without anchor text: https://www.steelman.com/ | [MEDIUM] Link without anchor text: https://www.steelman.com/wp-content/uploads/produc | [MEDIUM] Link without anchor text: https://www.steelman.com/contact | [MEDIUM] 3 potentially broken internal link(s) | [HIGH] Missing canonical tag | [CRITICAL] Page has noindex directive",True,Meta robots tag contains 'noindex',False,,Missing canonical tag,2,,True,0,,True,Unknown,,True,"101210-DE - Double-Ended Gas Ovens - Steelman Industries, Inc.",62,,True,434,"Meta description too long (434 chars, recommended: 120-160)",1,,7,0,,59,3,Link without anchor text: https://www.steelman.com/request-quote | Link without anchor text: https://www.steelman.com/product/101210-de | Link without anchor text: https://www.steelman.com/
