Category,Type,Issue Message,Severity,Affected Pages Count,URLs
Technical,Noindex,Page has noindex directive,CRITICAL,77,https://www.steelman.com/product/373-ba-c | https://www.steelman.com/product/tunnel-ovens | https://www.steelman.com/product/conveyor-ovens | https://www.steelman.com/product/383-ba-c | https://www.steelman.com/product/353-ba-c | https://www.steelman.com/product/343-ba-c | https://www.steelman.com/product/363-ba-c | https://www.steelman.com/product/333-ba-c | https://www.steelman.com/product/101110-ba-e | https://www.steelman.com/product/121214-ba-e | https://www.steelman.com/product/121212-ba-e | https://www.steelman.com/cdn-cgi/l/email-protection | https://www.steelman.com/product/101010-ba-e | https://www.steelman.com/product/101112-ba-e | https://www.steelman.com/product/101114-ba-e | https://www.steelman.com/product/332 | https://www.steelman.com/product/222 | https://www.steelman.com/product/2412-bb-p | https://www.steelman.com/product/252 | https://www.steelman.com/product/322 | https://www.steelman.com/product/232 | https://www.steelman.com/product/322-5 | https://www.steelman.com/product/23-59-bb-p | https://www.steelman.com/product/23-56-bb-p | https://www.steelman.com/product/111211-ba-p | https://www.steelman.com/product/666-ba-c | https://www.steelman.com/product/567-ba-c | https://www.steelman.com/product/6610-bb-c | https://www.steelman.com/product/101011-ba-p | https://www.steelman.com/product/686-ba-c | https://www.steelman.com/product/101111-ba-p | https://www.steelman.com/product/668-ba-c | https://www.steelman.com/product/688-ba-c | https://www.steelman.com/product/565-ba-c | https://www.steelman.com/product/474-ba-c | https://www.steelman.com/product/454-ba-c | https://www.steelman.com/product/484-ba-c | https://www.steelman.com/product/555-ba-c | https://www.steelman.com/product/8914-bb-c | https://www.steelman.com/product/101012 | https://www.steelman.com/product/464-ba-c | https://www.steelman.com/product/8810-ba-c | https://www.steelman.com/product/7810-ba-c | https://www.steelman.com/product/8916-bb-c | https://www.steelman.com/product/8812-bb-c | https://www.steelman.com/product/778-ba-c | https://www.steelman.com/product/101020-de-e | https://www.steelman.com/product/101014 | https://www.steelman.com/product/101016 | https://www.steelman.com/product/101016-de-e | https://www.steelman.com/product/101020 | https://www.steelman.com/product/101210 | https://www.steelman.com/product/101010-de-e | https://www.steelman.com/product/101010 | https://www.steelman.com/product/101014-de-e | https://www.steelman.com/product/101012-de-e | https://www.steelman.com/product/101210-de-e | https://www.steelman.com/product/101210-de | https://www.steelman.com/product/101020-de | https://www.steelman.com/product/101016-de | https://www.steelman.com/product/101010-de | https://www.steelman.com/product/101012-de | https://www.steelman.com/product/101014-de | https://www.steelman.com/product/8910-ba-e | https://www.steelman.com/product/888-ba-e | https://www.steelman.com/product/8108-ba-e | https://www.steelman.com/product/777-ba-e | https://www.steelman.com/product/454-ba-e | https://www.steelman.com/product/787-ba-e | https://www.steelman.com/product/898-ba-e | https://www.steelman.com/product/444-ba-e | https://www.steelman.com/product/333-ba-e | https://www.steelman.com/product/121216-ba-e | https://www.steelman.com/product/464-ba-e | https://www.steelman.com/product/565-ba-e | https://www.steelman.com/product/343-ba-e | https://www.steelman.com/product/566-ba-e
Technical,Redirects,Redirect chain ends in 404,CRITICAL,7,https://www.steelman.com/wp-content/uploads/2016/11/pg17.pdf | https://www.steelman.com/wp-content/uploads/2016/11/pg16.pdf | https://www.steelman.com/wp-content/themes/va/pdf/finishing_brochure.pdf | https://www.steelman.com/wp-content/themes/va/pdf/finishing_specifications.pdf | https://www.steelman.com/wp-content/themes/va/pdf/finishing_features.pdf | https://www.steelman.com/wp-content/themes/va/pdf/selection_guide.pdf | https://www.steelman.com/wp-content/themes/va/pdf/finishing_sheet.pdf
Technical,Canonical,Missing canonical tag,HIGH,84,https://www.steelman.com/product/373-ba-c | https://www.steelman.com/product/tunnel-ovens | https://www.steelman.com/product/conveyor-ovens | https://www.steelman.com/product/383-ba-c | https://www.steelman.com/product/353-ba-c | https://www.steelman.com/product/343-ba-c | https://www.steelman.com/product/363-ba-c | https://www.steelman.com/product/333-ba-c | https://www.steelman.com/product/101110-ba-e | https://www.steelman.com/product/121214-ba-e | https://www.steelman.com/product/121212-ba-e | https://www.steelman.com/cdn-cgi/l/email-protection | https://www.steelman.com/product/101010-ba-e | https://www.steelman.com/product/101112-ba-e | https://www.steelman.com/product/101114-ba-e | https://www.steelman.com/product/332 | https://www.steelman.com/product/222 | https://www.steelman.com/product/2412-bb-p | https://www.steelman.com/product/252 | https://www.steelman.com/product/322 | https://www.steelman.com/product/232 | https://www.steelman.com/product/322-5 | https://www.steelman.com/product/23-59-bb-p | https://www.steelman.com/product/23-56-bb-p | https://www.steelman.com/product/111211-ba-p | https://www.steelman.com/product/666-ba-c | https://www.steelman.com/product/567-ba-c | https://www.steelman.com/product/6610-bb-c | https://www.steelman.com/product/101011-ba-p | https://www.steelman.com/product/686-ba-c | https://www.steelman.com/product/101111-ba-p | https://www.steelman.com/wp-content/uploads/2016/11/pg17.pdf | https://www.steelman.com/product/668-ba-c | https://www.steelman.com/product/688-ba-c | https://www.steelman.com/product/565-ba-c | https://www.steelman.com/wp-content/uploads/2016/11/pg16.pdf | https://www.steelman.com/product/474-ba-c | https://www.steelman.com/product/454-ba-c | https://www.steelman.com/product/484-ba-c | https://www.steelman.com/wp-content/themes/va/pdf/finishing_brochure.pdf | https://www.steelman.com/product/555-ba-c | https://www.steelman.com/product/8914-bb-c | https://www.steelman.com/product/101012 | https://www.steelman.com/product/464-ba-c | https://www.steelman.com/product/8810-ba-c | https://www.steelman.com/product/7810-ba-c | https://www.steelman.com/product/8916-bb-c | https://www.steelman.com/product/8812-bb-c | https://www.steelman.com/wp-content/themes/va/pdf/finishing_specifications.pdf | https://www.steelman.com/product/778-ba-c | https://www.steelman.com/product/101020-de-e | https://www.steelman.com/product/101014 | https://www.steelman.com/product/101016 | https://www.steelman.com/product/101016-de-e | https://www.steelman.com/product/101020 | https://www.steelman.com/product/101210 | https://www.steelman.com/product/101010-de-e | https://www.steelman.com/product/101010 | https://www.steelman.com/product/101014-de-e | https://www.steelman.com/product/101012-de-e | https://www.steelman.com/product/101210-de-e | https://www.steelman.com/product/101210-de | https://www.steelman.com/product/101020-de | https://www.steelman.com/product/101016-de | https://www.steelman.com/product/101010-de | https://www.steelman.com/product/101012-de | https://www.steelman.com/product/101014-de | https://www.steelman.com/wp-content/themes/va/pdf/finishing_features.pdf | https://www.steelman.com/wp-content/themes/va/pdf/selection_guide.pdf | https://www.steelman.com/product/8910-ba-e | https://www.steelman.com/wp-content/themes/va/pdf/finishing_sheet.pdf | https://www.steelman.com/product/888-ba-e | https://www.steelman.com/product/8108-ba-e | https://www.steelman.com/product/777-ba-e | https://www.steelman.com/product/454-ba-e | https://www.steelman.com/product/787-ba-e | https://www.steelman.com/product/898-ba-e | https://www.steelman.com/product/444-ba-e | https://www.steelman.com/product/333-ba-e | https://www.steelman.com/product/121216-ba-e | https://www.steelman.com/product/464-ba-e | https://www.steelman.com/product/565-ba-e | https://www.steelman.com/product/343-ba-e | https://www.steelman.com/product/566-ba-e
On-Page,Meta Description,Missing meta description,HIGH,9,https://www.steelman.com/resources/videos | https://www.steelman.com/cdn-cgi/l/email-protection | https://www.steelman.com/wp-content/uploads/2016/11/pg17.pdf | https://www.steelman.com/wp-content/uploads/2016/11/pg16.pdf | https://www.steelman.com/wp-content/themes/va/pdf/finishing_brochure.pdf | https://www.steelman.com/wp-content/themes/va/pdf/finishing_specifications.pdf | https://www.steelman.com/wp-content/themes/va/pdf/finishing_features.pdf | https://www.steelman.com/wp-content/themes/va/pdf/selection_guide.pdf | https://www.steelman.com/wp-content/themes/va/pdf/finishing_sheet.pdf
On-Page,Title,"Title too short (13 chars, recommended: 30-70)",HIGH,7,https://www.steelman.com/wp-content/uploads/2016/11/pg17.pdf | https://www.steelman.com/wp-content/uploads/2016/11/pg16.pdf | https://www.steelman.com/wp-content/themes/va/pdf/finishing_brochure.pdf | https://www.steelman.com/wp-content/themes/va/pdf/finishing_specifications.pdf | https://www.steelman.com/wp-content/themes/va/pdf/finishing_features.pdf | https://www.steelman.com/wp-content/themes/va/pdf/selection_guide.pdf | https://www.steelman.com/wp-content/themes/va/pdf/finishing_sheet.pdf
On-Page,Title,"Title too short (29 chars, recommended: 30-70)",HIGH,1,https://www.steelman.com/cdn-cgi/l/email-protection
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/wp-content/uploads/produc,MEDIUM,82,https://www.steelman.com/product/373-ba-c | https://www.steelman.com/product/tunnel-ovens | https://www.steelman.com/product/conveyor-ovens | https://www.steelman.com/product/383-ba-c | https://www.steelman.com/product/353-ba-c | https://www.steelman.com/product/343-ba-c | https://www.steelman.com/product/363-ba-c | https://www.steelman.com/product/333-ba-c | https://www.steelman.com/product/101110-ba-e | https://www.steelman.com/product/121214-ba-e | https://www.steelman.com/product/121212-ba-e | https://www.steelman.com/product/101010-ba-e | https://www.steelman.com/product/101112-ba-e | https://www.steelman.com/product/101114-ba-e | https://www.steelman.com/product/332 | https://www.steelman.com/product/222 | https://www.steelman.com/product/2412-bb-p | https://www.steelman.com/product/252 | https://www.steelman.com/product/322 | https://www.steelman.com/product/232 | https://www.steelman.com/product/322-5 | https://www.steelman.com/product/23-59-bb-p | https://www.steelman.com/product/23-56-bb-p | https://www.steelman.com/product/111211-ba-p | https://www.steelman.com/product/666-ba-c | https://www.steelman.com/product/567-ba-c | https://www.steelman.com/product/6610-bb-c | https://www.steelman.com/product/101011-ba-p | https://www.steelman.com/product/686-ba-c | https://www.steelman.com/product/101111-ba-p | https://www.steelman.com/product/668-ba-c | https://www.steelman.com/product/688-ba-c | https://www.steelman.com/product/565-ba-c | https://www.steelman.com/product/474-ba-c | https://www.steelman.com/product/454-ba-c | https://www.steelman.com/product/484-ba-c | https://www.steelman.com/product/555-ba-c | https://www.steelman.com/product/8914-bb-c | https://www.steelman.com/product/101012 | https://www.steelman.com/product/464-ba-c | https://www.steelman.com/product/8810-ba-c | https://www.steelman.com/product/7810-ba-c | https://www.steelman.com/product/8916-bb-c | https://www.steelman.com/product/8812-bb-c | https://www.steelman.com/product/778-ba-c | https://www.steelman.com/product/101020-de-e | https://www.steelman.com/product/101014 | https://www.steelman.com/product/101016 | https://www.steelman.com/product/101016-de-e | https://www.steelman.com/product/101020 | https://www.steelman.com/product/101210 | https://www.steelman.com/product/101010-de-e | https://www.steelman.com/product/101010 | https://www.steelman.com/product/101014-de-e | https://www.steelman.com/product/101012-de-e | https://www.steelman.com/product/101010-e | https://www.steelman.com/product/101210-e | https://www.steelman.com/product/101210-de-e | https://www.steelman.com/product/101012-e | https://www.steelman.com/product/101020-e | https://www.steelman.com/product/101210-de | https://www.steelman.com/product/101020-de | https://www.steelman.com/product/101016-e | https://www.steelman.com/product/101014-e | https://www.steelman.com/product/101016-de | https://www.steelman.com/product/101010-de | https://www.steelman.com/product/101012-de | https://www.steelman.com/product/101014-de | https://www.steelman.com/product/8910-ba-e | https://www.steelman.com/product/888-ba-e | https://www.steelman.com/product/8108-ba-e | https://www.steelman.com/product/777-ba-e | https://www.steelman.com/product/454-ba-e | https://www.steelman.com/product/787-ba-e | https://www.steelman.com/product/898-ba-e | https://www.steelman.com/product/444-ba-e | https://www.steelman.com/product/333-ba-e | https://www.steelman.com/product/121216-ba-e | https://www.steelman.com/product/464-ba-e | https://www.steelman.com/product/565-ba-e | https://www.steelman.com/product/343-ba-e | https://www.steelman.com/product/566-ba-e
On-Page,Internal Links,1 potentially broken internal link(s),MEDIUM,63,https://www.steelman.com/resources | https://www.steelman.com/product/373-ba-c | https://www.steelman.com/product/tunnel-ovens | https://www.steelman.com/product/conveyor-ovens | https://www.steelman.com/product/383-ba-c | https://www.steelman.com/product/353-ba-c | https://www.steelman.com/product/343-ba-c | https://www.steelman.com/product/363-ba-c | https://www.steelman.com/product/333-ba-c | https://www.steelman.com/resources/guides/bake-flyer | https://www.steelman.com/resources/guides/electric-flyer | https://www.steelman.com/resources/guides/electric-brochure | https://www.steelman.com/resources/guides/plastic-rubber-specs | https://www.steelman.com/resources/guides/grill-flyer | https://www.steelman.com/resources/guides/cure-flyer | https://www.steelman.com/resources/guides/rubber-flyer | https://www.steelman.com/resources/guides/spinpack | https://www.steelman.com/resources/guides/plastic-rubber-brochure | https://www.steelman.com/product/101110-ba-e | https://www.steelman.com/resources/guides/electric-specs | https://www.steelman.com/product/121214-ba-e | https://www.steelman.com/product/121212-ba-e | https://www.steelman.com/product/101010-ba-e | https://www.steelman.com/product/101112-ba-e | https://www.steelman.com/product/101114-ba-e | https://www.steelman.com/product/2412-bb-p | https://www.steelman.com/product/23-59-bb-p | https://www.steelman.com/product/23-56-bb-p | https://www.steelman.com/product/111211-ba-p | https://www.steelman.com/product/666-ba-c | https://www.steelman.com/product/567-ba-c | https://www.steelman.com/product/6610-bb-c | https://www.steelman.com/product/101011-ba-p | https://www.steelman.com/product/686-ba-c | https://www.steelman.com/product/101111-ba-p | https://www.steelman.com/product/668-ba-c | https://www.steelman.com/product/688-ba-c | https://www.steelman.com/product/565-ba-c | https://www.steelman.com/product/474-ba-c | https://www.steelman.com/product/454-ba-c | https://www.steelman.com/product/484-ba-c | https://www.steelman.com/product/555-ba-c | https://www.steelman.com/product/8914-bb-c | https://www.steelman.com/product/464-ba-c | https://www.steelman.com/product/8810-ba-c | https://www.steelman.com/product/7810-ba-c | https://www.steelman.com/product/8916-bb-c | https://www.steelman.com/product/8812-bb-c | https://www.steelman.com/product/778-ba-c | https://www.steelman.com/product/8910-ba-e | https://www.steelman.com/product/888-ba-e | https://www.steelman.com/product/8108-ba-e | https://www.steelman.com/product/777-ba-e | https://www.steelman.com/product/454-ba-e | https://www.steelman.com/product/787-ba-e | https://www.steelman.com/product/898-ba-e | https://www.steelman.com/product/444-ba-e | https://www.steelman.com/product/333-ba-e | https://www.steelman.com/product/121216-ba-e | https://www.steelman.com/product/464-ba-e | https://www.steelman.com/product/565-ba-e | https://www.steelman.com/product/343-ba-e | https://www.steelman.com/product/566-ba-e
On-Page,Internal Links,3 potentially broken internal link(s),MEDIUM,30,https://www.steelman.com/product/332 | https://www.steelman.com/product/222 | https://www.steelman.com/product/252 | https://www.steelman.com/product/322 | https://www.steelman.com/product/232 | https://www.steelman.com/product/322-5 | https://www.steelman.com/product/101012 | https://www.steelman.com/product/101020-de-e | https://www.steelman.com/product/101014 | https://www.steelman.com/product/101016 | https://www.steelman.com/product/101016-de-e | https://www.steelman.com/product/101020 | https://www.steelman.com/product/101210 | https://www.steelman.com/product/101010-de-e | https://www.steelman.com/product/101010 | https://www.steelman.com/product/101014-de-e | https://www.steelman.com/product/101012-de-e | https://www.steelman.com/product/101010-e | https://www.steelman.com/product/101210-e | https://www.steelman.com/product/101210-de-e | https://www.steelman.com/product/101012-e | https://www.steelman.com/product/101020-e | https://www.steelman.com/product/101210-de | https://www.steelman.com/product/101020-de | https://www.steelman.com/product/101016-e | https://www.steelman.com/product/101014-e | https://www.steelman.com/product/101016-de | https://www.steelman.com/product/101010-de | https://www.steelman.com/product/101012-de | https://www.steelman.com/product/101014-de
On-Page,Internal Links,21 potentially broken internal link(s),MEDIUM,12,https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-gas-ovens/page/11 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-gas-ovens/page/3 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/double-ended-electric-ovens/page/10 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-gas-ovens/page/2 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/double-ended-electric-ovens/page/3 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-electric-ovens/page/2 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-electric-ovens/page/3 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/double-ended-electric-ovens/page/2 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/double-ended-gas-ovens/page/2 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-electric-ovens/page/10 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/double-ended-gas-ovens/page/3 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/double-ended-gas-ovens/page/10
