Category,Type,Issue Message,Severity,Affected Pages Count,URLs
On-Page,Title,"Title too long (71 chars, recommended: 30-70)",MEDIUM,8,https://www.steelman.com/product-category/industrial-process-ovens/tunnel-conveyor-ovens | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-gas-ovens | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-gas-ovens/page/12 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-gas-ovens/page/11 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-gas-ovens/page/4 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-gas-ovens/page/3 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-gas-ovens/page/10 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-gas-ovens/page/2
On-Page,Internal Links,23 potentially broken internal link(s),MEDIUM,8,https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-gas-ovens/page/4 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-gas-ovens/page/10 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/double-ended-electric-ovens/page/9 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/double-ended-electric-ovens/page/4 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/double-ended-gas-ovens/page/9 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-electric-ovens/page/9 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-electric-ovens/page/4 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/double-ended-gas-ovens/page/4
On-Page,Title,"Title too long (73 chars, recommended: 30-70)",MEDIUM,4,https://www.steelman.com/product-category/burn-off-ovens/plastics-other-industry | https://www.steelman.com/product-category/burn-off-ovens/plastics-other-industry/page/3 | https://www.steelman.com/product-category/burn-off-ovens/plastics-other-industry/page/4 | https://www.steelman.com/product-category/burn-off-ovens/plastics-other-industry/page/2
On-Page,Meta Description,"Meta description too short (110 chars, recommended: 120-160)",MEDIUM,3,https://www.steelman.com/privacy-policy | https://www.steelman.com/industries/custom-industrial-process-ovens | https://www.steelman.com/industries/finishing-coatings-burn-off-ovens
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/resources/guides/electric,MEDIUM,3,https://www.steelman.com/resources/guides/electric-flyer | https://www.steelman.com/resources/guides/electric-brochure | https://www.steelman.com/resources/guides/electric-specs
On-Page,Internal Links,20 potentially broken internal link(s),MEDIUM,3,https://www.steelman.com/product-category/industrial-process-ovens/bench-cabinet-ovens/page/2 | https://www.steelman.com/product-category/burn-off-ovens/plastics-other-industry/page/2 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/standard-electric-ovens/page/11
On-Page,Meta Description,"Meta description too short (112 chars, recommended: 120-160)",MEDIUM,2,https://www.steelman.com/ | https://www.steelman.com
On-Page,Meta Description,"Meta description too short (117 chars, recommended: 120-160)",MEDIUM,2,https://www.steelman.com/pay-now | https://www.steelman.com/industries/fibers-plastics-burn-off-ovens
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/resources/guides/plastic-,MEDIUM,2,https://www.steelman.com/resources/guides/plastic-rubber-specs | https://www.steelman.com/resources/guides/plastic-rubber-brochure
On-Page,Internal Links,19 potentially broken internal link(s),MEDIUM,2,https://www.steelman.com/product-category/burn-off-ovens/plastics-other-industry/page/3 | https://www.steelman.com/product-category/burn-off-ovens/plastics-other-industry/page/4
On-Page,Internal Links,8 potentially broken internal link(s),MEDIUM,2,https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/double-ended-electric-ovens/page/11 | https://www.steelman.com/product-category/industrial-process-ovens/walk-in-truck-in-ovens/double-ended-gas-ovens/page/11
On-Page,Meta Description,"Meta description too short (20 chars, recommended: 120-160)",MEDIUM,1,https://www.steelman.com/resources/events
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/resources,MEDIUM,1,https://www.steelman.com/resources
Technical,Canonical,Canonical points to homepage instead of current page,MEDIUM,1,https://www.steelman.com
Technical,Canonical,Canonical points to different URL: https://www.steelman.com/,MEDIUM,1,https://www.steelman.com
On-Page,Title,"Title too long (74 chars, recommended: 30-70)",MEDIUM,1,https://www.steelman.com/products/tunnel-and-conveyor-oven-technical-information
On-Page,Meta Description,"Meta description too short (116 chars, recommended: 120-160)",MEDIUM,1,https://www.steelman.com/about
On-Page,Meta Description,"Meta description too short (99 chars, recommended: 120-160)",MEDIUM,1,https://www.steelman.com/contact
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/373-ba-c,MEDIUM,1,https://www.steelman.com/product/373-ba-c
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/tunnel-ovens,MEDIUM,1,https://www.steelman.com/product/tunnel-ovens
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/conveyor-ovens,MEDIUM,1,https://www.steelman.com/product/conveyor-ovens
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/383-ba-c,MEDIUM,1,https://www.steelman.com/product/383-ba-c
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/353-ba-c,MEDIUM,1,https://www.steelman.com/product/353-ba-c
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/343-ba-c,MEDIUM,1,https://www.steelman.com/product/343-ba-c
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/363-ba-c,MEDIUM,1,https://www.steelman.com/product/363-ba-c
On-Page,Meta Description,"Meta description too short (89 chars, recommended: 120-160)",MEDIUM,1,https://www.steelman.com/products/industrial-process-ovens/walk-in-truck-in/walk-in-options
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/333-ba-c,MEDIUM,1,https://www.steelman.com/product/333-ba-c
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/resources/guides/bake-fly,MEDIUM,1,https://www.steelman.com/resources/guides/bake-flyer
On-Page,Meta Description,"Meta description too short (75 chars, recommended: 120-160)",MEDIUM,1,https://www.steelman.com/resources/guides/electric-flyer
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/resources/guides/grill-fl,MEDIUM,1,https://www.steelman.com/resources/guides/grill-flyer
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/resources/guides/cure-fly,MEDIUM,1,https://www.steelman.com/resources/guides/cure-flyer
On-Page,Meta Description,"Meta description too short (74 chars, recommended: 120-160)",MEDIUM,1,https://www.steelman.com/resources/guides/rubber-flyer
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/resources/guides/rubber-f,MEDIUM,1,https://www.steelman.com/resources/guides/rubber-flyer
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/resources/guides/spinpack,MEDIUM,1,https://www.steelman.com/resources/guides/spinpack
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/101110-ba-e,MEDIUM,1,https://www.steelman.com/product/101110-ba-e
On-Page,Internal Links,12 potentially broken internal link(s),MEDIUM,1,https://www.steelman.com/product-category/burn-off-ovens/electric-service-industry/page/3
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/121214-ba-e,MEDIUM,1,https://www.steelman.com/product/121214-ba-e
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/121212-ba-e,MEDIUM,1,https://www.steelman.com/product/121212-ba-e
Technical,Canonical,Canonical points to different URL: https://www.steelman.com/product-category/industrial-process-ovens/,MEDIUM,1,https://www.steelman.com/products
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/101010-ba-e,MEDIUM,1,https://www.steelman.com/product/101010-ba-e
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/101112-ba-e,MEDIUM,1,https://www.steelman.com/product/101112-ba-e
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/101114-ba-e,MEDIUM,1,https://www.steelman.com/product/101114-ba-e
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/332,MEDIUM,1,https://www.steelman.com/product/332
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/222,MEDIUM,1,https://www.steelman.com/product/222
On-Page,Internal Links,16 potentially broken internal link(s),MEDIUM,1,https://www.steelman.com/product-category/industrial-process-ovens/bench-cabinet-ovens/page/3
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/2412-bb-p,MEDIUM,1,https://www.steelman.com/product/2412-bb-p
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/252,MEDIUM,1,https://www.steelman.com/product/252
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/322,MEDIUM,1,https://www.steelman.com/product/322
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/232,MEDIUM,1,https://www.steelman.com/product/232
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/322-5,MEDIUM,1,https://www.steelman.com/product/322-5
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/23-59-bb-p,MEDIUM,1,https://www.steelman.com/product/23-59-bb-p
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/23-56-bb-p,MEDIUM,1,https://www.steelman.com/product/23-56-bb-p
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/111211-ba-p,MEDIUM,1,https://www.steelman.com/product/111211-ba-p
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/666-ba-c,MEDIUM,1,https://www.steelman.com/product/666-ba-c
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/567-ba-c,MEDIUM,1,https://www.steelman.com/product/567-ba-c
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/6610-bb-c,MEDIUM,1,https://www.steelman.com/product/6610-bb-c
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/101011-ba-p,MEDIUM,1,https://www.steelman.com/product/101011-ba-p
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/686-ba-c,MEDIUM,1,https://www.steelman.com/product/686-ba-c
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/101111-ba-p,MEDIUM,1,https://www.steelman.com/product/101111-ba-p
Technical,Canonical,Canonical points to different URL: https://www.steelman.com/product-category/burn-off-ovens/finishing-industry/,MEDIUM,1,https://www.steelman.com/product-category/burn-off-ovens/finishing-industry/page/1
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/668-ba-c,MEDIUM,1,https://www.steelman.com/product/668-ba-c
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/688-ba-c,MEDIUM,1,https://www.steelman.com/product/688-ba-c
On-Page,Meta Description,"Meta description too short (98 chars, recommended: 120-160)",MEDIUM,1,https://www.steelman.com/industries/finishing-coatings-industrial-process-ovens
On-Page,Meta Description,"Meta description too short (103 chars, recommended: 120-160)",MEDIUM,1,https://www.steelman.com/industries/custom-burn-off-ovens
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/565-ba-c,MEDIUM,1,https://www.steelman.com/product/565-ba-c
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/474-ba-c,MEDIUM,1,https://www.steelman.com/product/474-ba-c
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/454-ba-c,MEDIUM,1,https://www.steelman.com/product/454-ba-c
On-Page,Internal Links,Link without anchor text: https://www.steelman.com/product/484-ba-c,MEDIUM,1,https://www.steelman.com/product/484-ba-c
